# jls-ledger.tsv — every leaf section of java-langspec-1.0.pdf, with its coverage status.
#
# Transcribed from the spec's own table of contents (PDF pp. 7-19, printed vii-xix).
# This file is the WHOLE against which coverage is measured: a subset chosen by hand is
# indistinguishable from completeness unless the whole is written down first.
#
# status: COVERED | N/A | UNCOVERED    (default UNCOVERED; there is no fourth value)
#   COVERED  -> reason_or_templates lists the template ids exercising it (computed, not typed)
#   N/A      -> reason_or_templates is a written reason citing spec text or a TESTED behaviour
#   UNCOVERED-> the honest default
#
# Checked by conformance/check-ledger (gapless numbering, monotone pages, chapter anchoring).
#
# section	title	page	status	reason_or_templates
1.1	Example Programs	5	UNCOVERED		The printed §1.1 `class Test` is a complete runnable program: `main(String[] args)` echoes its command-line arguments via System.out.print/println and must print exactly `Hello, world.`
1.2	References	6	N/A	A bibliography of external documents (Dylan, CLOS, ARM, IEEE 754, Unicode); it states no rule about Java, so no program can observe it.	
2.1	Context-Free Grammars	7	N/A	Defines context-free-grammar metaterminology only (production, nonterminal, terminal, alphabet, goal symbol); names no Java construct a program could exercise.	
2.2	The Lexical Grammar	7	UNCOVERED		White space and comments are discarded before the syntactic grammar, so a comment still separates two tokens (`a/**/b` is two identifiers, never `ab`).
2.3	The Syntactic Grammar	8	N/A	Document organization only: which chapters carry the syntactic grammar and how the expository form differs from the Chapter 19 LALR(1) form; no production or rule is stated here.	
2.4	Grammar Notation	8	UNCOVERED		The notation's expansions are directly compilable claims: all eight `for` forms from the `opt` subscript, both `break ;` / `break Identifier ;` forms, and `true`/`false` as BooleanLiteral rather than Identifier.
3.1	Unicode	11	UNCOVERED		non-ASCII Unicode is legal only in comments, identifiers and character/string literal contents, where it carries its Unicode 2.0 code value
3.2	Lexical Translations	12	UNCOVERED		longest-possible-match tokenization: `i+++j` lexes as `i++ + j`, `a--b` as `a`,`--`,`b`
3.3	Unicode Escapes	12	UNCOVERED		\\uxxxx is translated before tokenizing (so `A` can spell a token), multiple u's allowed, and an even/odd backslash count decides eligibility so `\\u005a` is not `Z`
3.4	Line Terminators	13	UNCOVERED		CR, LF and CR LF each terminate exactly one line, ending a // comment and making an unclosed literal a compile-time error
3.5	Input Elements and Tokens	14	UNCOVERED		white space or a comment between `-` and `=` prevents them forming the `-=` token, and a trailing ASCII SUB is ignored
3.6	White Space	15	UNCOVERED		space, HT, FF and line terminators all count as token-separating white space
3.7	Comments	15	UNCOVERED		comments do not nest and // has no meaning inside /*, so `/* this /* // /** ends here: */` is one comment; a comment delimiter inside a string literal is ordinary text
3.8	Identifiers	17	COVERED	Ch3	identifiers are unlimited-length Java-letter/digit sequences including $ and _, and are the same only if every Unicode character matches (LATIN A, GREEK ALPHA, CYRILLIC A are three distinct names)
3.9	Keywords	18	COVERED	Ch3	the 47 reserved keywords, including the unused `const` and `goto`, are rejected as identifiers at compile time
3.10	Literals	19	UNCOVERED		each of the six literal kinds denotes a value whose type is the primitive type, String, or the null type it names
3.10.1	Integer Literals	19	UNCOVERED		decimal/hex/octal forms with optional L suffix; 0x80000000 is int -2147483648 and 0xffffffff is -1, and out-of-range decimal literals are compile-time errors
3.10.2	Floating-Point Literals	22	UNCOVERED		f/F suffix yields float and otherwise double, with a compile-time error if a nonzero literal rounds to infinity or to zero
3.10.3	Boolean Literals	23	UNCOVERED		`true` and `false` are the two values of type boolean
3.10.4	Character Literals	24	UNCOVERED		a character literal is always type char and always exactly one character; ' ' is a compile-time error while '\\n' is not
3.10.5	String Literals	25	COVERED	Ch15	string literals and compile-time constant expressions are interned so `==` is true across classes, while runtime-computed strings are distinct until .intern()
3.10.6	Escape Sequences for Character and String Literals	26	UNCOVERED		\\b \\t \\n \\f \\r \\" \\' \\\\ map to their code points and octal escapes cover \0-ÿ (so '\\101' == 'A')
3.10.7	The Null Literal	27	UNCOVERED		`null` is the single value of the null type and is assignable to any reference variable
3.11	Separators	27	UNCOVERED		the nine ASCII characters ( ) { } [ ] ; , . each lex as a single separator token
3.12	Operators	28	UNCOVERED		the 37 operator tokens each lex as one token, including the three-and-four character forms >>> and >>>=
4.1	The Kinds of Types and Values	30	UNCOVERED		the null reference is the only value of the null type and can be cast to any reference type (and no variable may be declared of the null type)
4.2	Primitive Types and Values	30	UNCOVERED		primitive values share no state — a primitive variable's value changes only by assignment to that variable; boolean has exactly two values and the integral/floating widths are 8/16/32/64-bit
4.2.1	Integral Types and Values	31	UNCOVERED		the exact inclusive ranges of byte, short, int, long, and char (0..65535)
4.2.2	Integer Operations	31	UNCOVERED		integer ops are 32-bit unless an operand is long (then 64-bit), overflow is silent and wraps, and / or % by zero throws ArithmeticException
4.2.3	Floating-Point Types and Values	33	UNCOVERED		IEEE 754 values: 0.0==-0.0 is true but 1.0/0.0 is +Inf and 1.0/-0.0 is -Inf, and NaN is unordered so x!=x is true exactly when x is NaN
4.2.4	Floating-Point Operations	34	UNCOVERED		binary float ops promote to double if either operand is double, round to nearest, produce no exceptions (overflow→signed infinity, gradual underflow, no flush-to-zero)
4.2.5	The boolean Type and boolean Values	36	UNCOVERED		only boolean expressions drive if/while/do/for and ?:, boolean casts only to boolean, and string conversion of a boolean yields "true"/"false"
4.3	Reference Types and Values	37	UNCOVERED		a variable or field may be declared with a class type, an interface type, or an array type written Type[], and all three are usable
4.3.1	Objects	38	UNCOVERED		references alias: mutation of an object's state through one reference is observed through another reference to the same object
4.3.2	The Class Object	40	UNCOVERED		every class and array inherits Object's methods — getClass, toString, equals, hashCode, clone — and an Object variable holds any instance or array
4.3.3	The Class String	41	UNCOVERED		a String's value is constant (unchanging), string literals are references to String instances, and + creates a new String
4.3.4	When Reference Types Are the Same	42	UNCOVERED		type identity: same fully-qualified name means the same class/interface, and two array types are the same type iff their component types are (observable via getClass() identity)
4.4	Where Types Are Used	42	UNCOVERED		a type name is usable in each listed position — field, method parameter, method result, constructor parameter, local, catch parameter, new, array creation, cast, instanceof
4.5	Variables	43	UNCOVERED		a variable always holds a value assignment-compatible with its declared type, checked at compile time except the one run-time array-store check
4.5.1	Variables of Primitive Type	44	UNCOVERED		a primitive variable holds a value of exactly its declared type, so a narrower type keeps no widened residue (e.g. byte b=(byte)200 reads back as -56)
4.5.2	Variables of Reference Type	44	UNCOVERED		a reference variable holds null or a reference to any object whose class is assignment compatible with the variable's type
4.5.3	Kinds of Variables	44	UNCOVERED		variable creation and extent per kind: one class variable per class, one instance variable per object, and a fresh parameter/local created per invocation or per block/for entry
4.5.4	Initial Values of Variables	46	UNCOVERED		fields and array components are initialized to type defaults (0, 0L, 0.0f, 0.0d, '\0', false, null) before use
4.5.5	Variables Have Types, Objects Have Classes	47	UNCOVERED		a variable's declared type differs from the object's class: an interface-typed variable holds any implementing instance, and an array's class name is e.g. "[I"
5.1	Kinds of Conversion	54	N/A	The section body is a single taxonomic sentence — "Specific type conversions in Java are divided into six categories." (p. 54) — naming the buckets its subsections define; it states no rule a program's compilation or execution can exhibit.	
5.1.1	Identity Conversions	54	UNCOVERED		a redundant cast to a value's own type is permitted and value-preserving, and boolean's only conversion is boolean-to-boolean
5.1.2	Widening Primitive Conversions	54	UNCOVERED		the 19 widenings never throw: signed integrals sign-extend, char zero-extends, and int/long to float/double rounds IEEE-nearest with possible precision loss (1234567890 to float loses 46)
5.1.3	Narrowing Primitive Conversions	55	UNCOVERED		float/double to integral rounds toward zero, NaN yields 0, out-of-range clamps to the type's MIN/MAX, integral narrowing keeps the low n bits, and none of the 23 ever throws
5.1.4	Widening Reference Conversions	58	UNCOVERED		subclass-to-superclass, class-to-implemented-interface, null-to-any-reference, array-to-Object/Cloneable, and SC[]-to-TC[] all succeed with no run-time check
5.1.5	Narrowing Reference Conversions	59	UNCOVERED		a narrowing reference conversion tests the value at run time and throws ClassCastException when the actual class is not assignment compatible
5.1.6	String Conversions	60	UNCOVERED		every type including the null type has a string conversion, so "" + anyValue produces a String (null yields "null")
5.1.7	Forbidden Conversions	60	UNCOVERED		javelinac rejects the forbidden set — reference-to-primitive, primitive-to-reference, any non-identity conversion to/from boolean, casts between unrelated class types, array to a class type other than Object/String
5.2	Assignment Conversion	61	UNCOVERED		an int constant expression narrows implicitly to byte/short/char when representable (byte b = 42;), non-constant narrowing is a compile-time error, and assignment itself never throws except an array-element ArrayStoreException
5.3	Method Invocation Conversion	66	UNCOVERED		argument conversion allows only identity/widening — the implicit constant narrowing of §5.2 is excluded, so m(12, 2) against m(byte,int)/m(short,short) is a compile-time error
5.4	String Conversion	67	UNCOVERED		string conversion fires only for binary + when one operand is a String, converting the other operand and yielding the concatenation
5.5	Casting Conversion	67	UNCOVERED		a reference cast checks the run-time class against the target (null always passes) and throws ClassCastException otherwise; provably impossible casts, e.g. to an unrelated class or an interface a final class lacks, are compile-time errors
5.6	Numeric Promotions	72	UNCOVERED		promotion contexts admit only identity and widening primitive conversions, so an arithmetic operand is never narrowed
5.6.1	Unary Numeric Promotion	73	UNCOVERED		byte/short/char promote to int for array dimension and index expressions, unary +, -, and ~, and for each shift operand separately, so a long shift distance does not promote the shifted value
5.6.2	Binary Numeric Promotion	74	UNCOVERED		binary operands promote by the double > float > long > int ladder for * / %, + -, < <= > >=, == !=, & ^ |, and ?: — so char & byte computes as int & int
6.1	Declarations	78	UNCOVERED		a constructor declaration introduces no name, so a class may also declare a method whose name is the class name
6.2	Names and Identifiers	79	UNCOVERED		statement labels are a separate namespace: a label may reuse a local variable's identifier without hiding it
6.3	Scope of a Simple Name	81	UNCOVERED		forward reference in a field initializer is a compile-time error while a constructor may use a later-declared field; type declarations need not precede use
6.3.1	Hiding Names	83	UNCOVERED		a local variable hides a class variable; the hidden one is still reachable as Test.x (prints x=0, Test.x=1)
6.4	Members and Inheritance	85	UNCOVERED		an inaccessible, hidden, or overridden superclass member is not inherited into the subclass's member set
6.4.1	The Members of a Package	85	UNCOVERED		same simple name in two packages denotes two distinct types (vector.Vector vs java.util.Vector); a package cannot contain a class and subpackage of one name
6.4.2	The Members of a Class Type	86	UNCOVERED		a field and method may share a name; a field inherited from two interfaces is ambiguous by simple name (compile-time error); overriding removes Object.toString from the member set
6.4.3	The Members of an Interface Type	87	UNCOVERED		an interface inheriting same-named fields from two superinterfaces makes that simple name a compile-time error (ColorsAndSeparates)
6.4.4	The Members of an Array Type	88	UNCOVERED		array type has Object's members plus final int length; int[] arrays of different sizes share one class (ia.getClass()==ib.getClass())
6.5	Determining the Meaning of a Name	89	UNCOVERED		a name's category comes from its context, so one identifier can denote a type, a method, and a variable in the same body
6.5.1	Syntactic Classification of a Name According to Context	90	UNCOVERED		context fixes the syntactic category: identifier before '(' is a MethodName, in a cast/instanceof/new is a TypeName, as assignment LHS is an ExpressionName
6.5.2	Reclassification of Contextually Ambiguous Names	91	UNCOVERED		ambiguous-name reclassification order: local/param, then field, then type, then package (ORG.rpgpoet.Music.wizards.length resolves left-to-right)
6.5.3	Meaning of Package Names	93	N/A	the section body is a single lead-in sentence ("determined as follows") stating no rule of its own; it has no behaviour a program could observe	
6.5.3.1	Simple Package Names	93	UNCOVERED		a simple package name naming no accessible top-level package is a compile-time error
6.5.3.2	Qualified Package Names	93	UNCOVERED		in Q.Id, Q must name an accessible package and Id an accessible subpackage, else compile-time error
6.5.4	Meaning of Type Names	93	N/A	the section body is a single lead-in sentence ("determined as follows") stating no rule of its own; it has no behaviour a program could observe	
6.5.4.1	Simple Type Names	93	UNCOVERED		simple type name lookup order: current compilation unit, then same package, then a single on-demand import; two on-demand imports of the name is a compile-time error
6.5.4.2	Qualified Type Names	94	UNCOVERED		a qualified type name Q.Id must name an accessible type in package Q (java.util.Date usable without import), else compile-time error
6.5.5	Meaning of Expression Names	95	N/A	the section body is a single lead-in sentence ("determined as follows") stating no rule of its own; it has no behaviour a program could observe	
6.5.5.1	Simple Expression Names	95	UNCOVERED		a simple name denotes local/param before field; a final field denotes a value so assigning to it is a compile-time error, as is naming an instance variable from a static context
6.5.5.2	Qualified Expression Names	96	UNCOVERED		Q.Id: package-qualified Q is an error, class-name Q requires a static field, and expression Q of non-reference type (i.x on an int) is a compile-time error
